City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,youssoufia,32.2463,-8.5294,291.56,78,0,1.05,MA,1697078497
138,port blair,11.6667,92.75,302.17,79,40,1.03,IN,1697078497
139,usogorsk,63.4106,48.6872,272.41,85,100,5.58,RU,1697078497
140,tarfaya,27.9358,-12.9218,294.57,83,78,5.57,MA,1697078498
141,ust-nera,64.5667,143.2,262.71,91,100,1.34,RU,1697078498
142,yerofey pavlovich,53.9667,121.9667,286.2,47,89,4.06,RU,1697078498
143,constantia,44.1833,28.65,282.53,68,7,3.75,RO,1697078498
144,ulan bator,47.9077,106.8832,276.22,65,0,1.0,MN,1697078489
145,tweed heads,-28.1817,153.547,303.82,59,0,8.75,AU,1697078499
146,kimberley,-28.7323,24.7623,286.98,88,100,5.66,ZA,1697078499
147,mwene-ditu,-7.0,23.45,292.07,94,100,1.46,CD,1697078500
148,chefchaouene,35.1688,-5.2636,289.91,88,24,2.62,MA,1697078500
149,nova sintra,14.8667,-24.7167,297.07,70,93,3.61,CV,1697078500
150,ocos,14.5094,-92.1933,300.25,80,100,0.88,GT,1697078500
151,sisimiut,66.9395,-53.6735,271.2,72,89,3.68,GL,1697078238
152,blenheim,-41.516,173.9528,292.88,55,3,2.68,NZ,1697078501
153,sinabang,2.4803,96.3801,298.79,89,100,1.77,ID,1697078501
154,fisterra,42.9049,-9.2629,291.9,80,87,6.05,ES,1697078502
155,aykhal,66.0,111.5,274.86,71,100,11.62,RU,1697078502
156,garbahaarrey,3.3289,42.2209,297.99,76,95,5.99,SO,1697078502
157,xichang,27.8964,102.2634,290.33,93,100,1.26,CN,1697078503
158,akureyri,65.6835,-18.0878,273.11,74,100,1.54,IS,1697078503
159,gargalianoi,37.0667,21.6333,288.49,68,2,2.26,GR,1697078503
160,atafu village,-8.5421,-172.5159,301.31,75,77,4.56,TK,1697078503
161,camapua,-19.5314,-54.0439,300.55,57,83,1.08,BR,1697078504
162,kalmunai,7.4167,81.8167,299.75,80,95,3.12,LK,1697078504
163,valparaiso,-33.0393,-71.6273,284.95,76,0,1.54,CL,1697078483
164,taltal,-25.4,-70.4833,290.76,67,62,2.28,CL,1697078505
165,boende,-0.2167,20.8667,293.65,96,37,1.1,CD,1697078505
166,baturaja,-4.1333,104.1667,307.29,41,61,2.11,ID,1697078505
167,porto seguro,-16.4497,-39.0647,297.44,83,20,4.12,BR,1697078505
168,pacific grove,36.6177,-121.9166,290.49,82,20,4.63,US,1697078219
169,mhamid,29.82,-5.72,295.03,29,83,2.34,MA,1697078506
170,ambon,-3.6954,128.1814,300.79,76,65,4.4,ID,1697078506
171,kupang,-10.1667,123.5833,304.7,52,9,2.71,ID,1697078507
172,sao jose da coroa grande,-8.8978,-35.1478,296.84,82,2,2.65,BR,1697078507
173,vorgashor,67.5833,63.95,272.49,83,99,1.15,RU,1697078507
174,touba,8.2833,-7.6833,294.18,92,100,1.01,CI,1697078507
175,fruita,39.1589,-108.729,284.03,87,99,0.89,US,1697078508
176,alice springs,-23.7,133.8833,306.9,11,4,5.14,AU,1697078353
177,west island,-12.1568,96.8225,301.14,74,75,5.14,CC,1697078508
178,port mathurin,-19.6833,63.4167,296.6,77,40,4.28,MU,1697078509
179,olinda,-8.0089,-34.8553,300.0,69,40,4.12,BR,1697078386
180,linden,6.0,-58.3,296.99,88,0,1.42,GY,1697078509
181,sengiley,53.9622,48.7944,275.25,76,97,6.53,RU,1697078509
182,sawakin,19.1059,37.3321,301.88,76,55,3.48,SD,1697078510
183,plesetsk,62.708,40.2916,279.49,95,100,6.3,RU,1697078510
184,richards bay,-28.783,32.0377,294.41,84,100,2.78,ZA,1697078510
185,torghay,49.6339,63.4981,279.01,58,100,3.64,KZ,1697078511
186,ustka,54.5805,16.8619,286.29,82,100,10.24,PL,1697078511
187,westport,41.1415,-73.3579,288.09,84,0,1.54,US,1697078511
188,newman,37.3138,-121.0208,293.14,47,0,2.24,US,1697078512
189,villa gesell,-37.2639,-56.973,280.14,65,98,5.35,AR,1697078512
190,sokcho,38.2083,128.5911,293.49,64,20,3.6,KR,1697078512
191,annau,37.8876,58.516,287.87,58,40,6.17,TM,1697078513
192,sitka,57.0531,-135.33,285.09,58,75,2.06,US,1697078513
193,tobelo,1.7284,128.0095,303.4,60,100,3.53,ID,1697078513
194,basco,20.4487,121.9702,301.07,72,88,10.33,PH,1697078514
195,maragogi,-9.0122,-35.2225,296.73,81,3,2.38,BR,1697078514
196,villa tupac amaru,-13.7,-76.15,291.75,82,0,4.63,PE,1697078514
197,gamba,-2.65,10.0,297.65,92,100,1.36,GA,1697078514
198,tokmok,42.8417,75.3016,296.47,19,2,3.2,KG,1697078515
199,prineville,44.2999,-120.8345,283.54,93,100,2.57,US,1697078515
200,codrington,-38.2667,141.9667,286.83,79,74,9.35,AU,1697078515
201,shizunai-furukawacho,42.3339,142.3669,289.44,63,34,6.68,JP,1697078516
202,juan griego,11.0817,-63.9655,300.15,88,4,4.91,VE,1697078516
203,ribeira brava,32.65,-17.0667,302.5,16,99,2.24,PT,1697078516
204,wailua homesteads,22.0669,-159.378,301.39,74,0,5.14,US,1697078516
205,kristianstad,56.0313,14.1524,284.23,79,92,6.17,SE,1697078517
206,cestos city,5.46,-9.5828,297.54,91,100,0.93,LR,1697078517
207,alaghsas,17.0187,8.0168,301.55,17,89,6.44,NE,1697078517
208,hotan,37.0997,79.9269,291.83,22,0,1.24,CN,1697078517
209,thompson,55.7435,-97.8558,281.24,46,75,2.06,CA,1697078518
210,makarov,48.6333,142.8,287.5,52,50,4.76,RU,1697078518
211,howard springs,-12.497,131.047,306.1,28,73,2.24,AU,1697078518
212,saipan,15.1355,145.701,302.54,84,75,8.75,MP,1697078519
213,nizhneudinsk,54.9076,99.0276,287.05,51,86,1.79,RU,1697078519
214,shingu,33.7333,135.9833,295.19,64,14,4.23,JP,1697078227
215,lebu,-37.6167,-73.65,282.48,88,0,8.61,CL,1697078519
216,burang,30.25,81.1667,281.08,19,0,0.96,CN,1697078520
217,lihue,21.9789,-159.3672,301.73,68,0,5.14,US,1697078237
218,la'ie,21.6477,-157.9253,302.13,69,100,2.68,US,1697078520
219,menzelinsk,55.7271,53.1026,274.38,86,100,3.58,RU,1697078520
220,lethem,3.3803,-59.7968,301.79,42,4,2.9,GY,1697078521
221,bodaybo,57.8506,114.1933,286.2,53,73,2.24,RU,1697078242
222,brewton,31.1052,-87.0722,289.41,91,100,6.02,US,1697078521
223,mangrol,21.1167,70.1167,299.87,77,5,2.6,IN,1697078522
224,ephrata,40.1798,-76.1788,286.22,81,0,0.0,US,1697078522
225,sao paulo de olivenca,-3.3783,-68.8725,296.11,97,52,1.12,BR,1697078522
226,balykshi,47.0667,51.8667,276.15,93,75,6.0,KZ,1697078522
227,dawson creek,55.7666,-120.2362,281.95,93,20,2.06,CA,1697078331
228,guerrero negro,27.9769,-114.0611,292.77,76,20,8.36,MX,1697078523
229,nogliki,51.8333,143.1667,285.01,58,89,6.26,RU,1697078523
230,praia da vitoria,38.7333,-27.0667,292.46,88,0,4.11,PT,1697078524
231,kayangel,8.0823,134.7173,301.05,81,62,8.94,PW,1697078524
232,jamestown,42.097,-79.2353,282.92,99,0,1.54,US,1697078236
233,kalabo,-14.97,22.6814,294.43,51,22,2.51,ZM,1697078524
234,castillos,-34.1667,-53.8333,280.72,64,82,5.87,UY,1697078525
235,vilhena,-12.7406,-60.1458,298.68,57,27,0.94,BR,1697078525
236,fort bragg,35.139,-79.006,291.43,87,40,1.54,US,1697078525
237,tymovskoye,50.8456,142.655,287.33,54,80,3.5,RU,1697078526
238,touros,-5.1989,-35.4608,298.43,79,34,6.7,BR,1697078340
239,mersa matruh,31.3525,27.2453,294.26,78,40,2.06,EG,1697078526
240,pisco,-13.7,-76.2167,292.18,82,0,4.63,PE,1697078527
241,arias,-33.6441,-62.4027,279.67,37,4,2.95,AR,1697078527
242,laguna,38.421,-121.4238,293.74,43,0,3.6,US,1697078283
243,holualoa,19.6228,-155.9522,299.06,79,75,4.63,US,1697078528
244,el carmen,8.5106,-73.4478,293.68,95,1,1.62,CO,1697078528
245,namibe,-15.1961,12.1522,293.24,84,96,2.43,AO,1697078528
246,kapa'a,22.0752,-159.319,302.14,74,0,5.14,US,1697078528
247,marka,1.7159,44.7717,298.87,88,50,3.2,SO,1697078529
248,marsh harbour,26.5412,-77.0636,301.47,80,100,4.67,BS,1697078529
249,kimry,56.8667,37.35,278.65,62,100,4.92,RU,1697078530
250,mccook,40.2019,-100.6257,297.18,41,0,6.69,US,1697078530
251,bukama,-9.2,25.85,296.32,79,100,0.42,CD,1697078530
252,bushehr,28.9684,50.8385,296.2,78,0,0.0,IR,1697078531
253,ouesso,1.6136,16.0517,294.6,93,97,0.44,CG,1697078531
254,turinsk,58.0458,63.696,277.03,67,100,4.02,RU,1697078531
255,arua,3.0201,30.9111,290.61,89,99,0.99,UG,1697078531
256,port alfred,-33.5906,26.891,289.92,98,100,2.24,ZA,1697078532
257,mgandu,-5.95,34.1333,290.64,68,100,2.42,TZ,1697078532
258,ngereklmadel,7.4883,134.4856,304.2,70,75,6.69,PW,1697078532
259,luderitz,-26.6481,15.1594,286.21,81,25,3.25,NA,1697078533
260,igarka,67.4667,86.5833,276.02,90,100,2.41,RU,1697078533
261,silvan,38.1419,41.0081,283.31,43,7,1.52,TR,1697078533
262,port saint john's,-31.6229,29.5448,292.82,92,100,1.48,ZA,1697078533
263,dhamar,14.5427,44.4051,285.42,45,4,2.82,YE,1697078534
264,fomboni,-12.28,43.7425,298.31,80,17,1.52,KM,1697078534
265,hasaki,35.7333,140.8333,296.09,50,47,4.03,JP,1697078534
266,vanino,49.0869,140.2543,289.22,42,48,3.32,RU,1697078535
267,moranbah,-22.0016,148.0466,304.32,22,85,6.92,AU,1697078535
268,pangoa,-12.1167,-73.0,296.09,73,96,1.54,PE,1697078535
269,mil'kovo,55.6078,37.7956,280.43,76,100,8.77,RU,1697078535
270,rampachodavaram,17.45,81.7667,301.1,70,8,0.43,IN,1697078536
271,egilsstadir,65.2653,-14.3948,272.1,86,0,1.54,IS,1697078246
272,kavaratti,10.5669,72.642,301.71,67,100,3.08,IN,1697078536
273,los frentones,-26.4077,-61.4137,286.3,87,100,6.24,AR,1697078537
274,belyy yar,53.6039,91.3903,282.09,81,100,2.0,RU,1697078537
275,nar'yan-mar,67.6713,53.087,274.32,76,10,4.02,RU,1697078241
276,luganville,-15.5333,167.1667,299.12,72,100,4.65,VU,1697078537
277,carnarvon,-24.8667,113.6333,299.32,45,39,7.51,AU,1697078238
278,pervomaysk,48.0443,30.8507,280.61,88,12,5.43,UA,1697078538
279,nishinoomote,30.7333,131.0,296.46,68,20,3.6,JP,1697078538
280,cill airne,52.05,-9.5167,283.4,91,98,1.34,IE,1697078539
281,floro,61.5996,5.0328,281.13,81,75,13.38,NO,1697078244
282,neral,19.0333,73.3167,300.58,74,6,0.82,IN,1697078539
